age,daily_activity_hours,sleep_hours,caffeine_intake,screen_time,exercise_hours,stress_score,burnout_general
26.0,10.33,4.45,2.0,15.07,0.14,4,Medium
39.0,8.62,5.77,5.0,13.25,0.54,4,Medium
30.0,6.85,6.47,2.0,11.14,0.96,3,Medium
40.0,10.25,6.78,0.0,15.15,0.78,3,Medium
26.0,6.53,7.6,6.0,9.38,0.54,1,Low
38.0,10.69,5.25,5.0,14.58,0.1,5,Medium
42.0,11.47,4.79,4.0,14.54,1.53,5,Medium
30.0,13.16,5.39,3.0,14.44,0.58,5,Medium
30.0,13.58,4.01,2.0,14.77,1.89,5,Medium
43.0,4.11,4.6,5.0,5.6,1.78,3,Medium
23.0,10.83,5.11,0.0,12.87,0.65,3,Medium
27.0,10.44,8.97,2.0,14.35,0.56,1,Low
43.0,4.15,4.84,7.0,8.01,0.95,3,Medium
22.0,12.61,7.94,5.0,17.5,0.71,4,Medium
41.0,5.45,7.53,3.0,7.69,1.8,0,Low
40.0,12.37,5.61,4.0,17.12,0.25,6,High
21.0,4.16,5.65,2.0,7.61,1.45,2,Low
43.0,10.46,6.82,5.0,13.44,1.22,4,Medium
31.0,8.35,8.26,1.0,12.02,1.61,1,Low
25.0,6.01,5.93,0.0,9.82,1.08,2,Low
21.0,5.08,4.31,4.0,6.77,1.26,2,Low
40.0,8.4,5.87,2.0,12.41,1.93,3,Medium
20.0,5.23,5.04,5.0,9.13,0.18,4,Medium
31.0,8.86,8.7,4.0,13.85,0.21,2,Low
41.0,10.25,7.49,1.0,14.9,0.79,1,Low
31.0,12.27,4.25,2.0,16.01,0.95,5,Medium
44.0,10.79,5.46,7.0,14.64,0.4,5,Medium
36.0,4.65,4.25,4.0,9.43,0.17,3,Medium
29.0,7.07,8.15,2.0,11.94,0.04,2,Low
35.0,6.88,8.53,7.0,11.19,1.53,2,Low
34.0,13.15,4.56,2.0,17.22,0.97,5,Medium
34.0,12.68,6.2,4.0,14.13,1.69,5,Medium
38.0,7.7,8.66,2.0,12.02,0.72,1,Low
31.0,4.71,4.73,1.0,6.72,1.41,2,Low
39.0,12.88,5.52,5.0,15.5,1.22,6,High
44.0,12.55,4.15,6.0,14.93,0.74,6,High
22.0,12.45,4.18,4.0,14.69,0.16,6,High
24.0,8.8,8.76,1.0,13.22,1.89,1,Low
26.0,8.77,5.53,1.0,11.86,0.62,3,Medium
40.0,8.95,5.89,7.0,12.61,1.92,4,Medium
26.0,9.39,5.83,5.0,11.98,0.89,4,Medium
37.0,6.58,5.14,6.0,9.78,1.51,3,Medium
23.0,7.66,4.51,6.0,10.79,0.62,4,Medium
44.0,8.34,7.64,2.0,13.08,0.65,1,Low
33.0,5.31,4.9,2.0,7.72,0.82,2,Low
37.0,8.55,4.35,3.0,13.5,0.94,3,Medium
28.0,12.1,6.13,6.0,14.32,0.25,7,High
40.0,12.28,4.2,6.0,13.72,0.03,7,High
39.0,9.19,7.14,1.0,11.89,0.71,1,Low
34.0,4.34,4.76,3.0,7.94,0.2,3,Medium
26.0,10.74,4.86,6.0,13.81,1.52,4,Medium
31.0,8.05,6.85,1.0,10.56,0.59,3,Medium
34.0,12.74,7.87,7.0,17.1,1.93,4,Medium
22.0,8.62,6.73,6.0,12.98,1.84,4,Medium
33.0,4.21,6.17,5.0,8.11,0.21,4,Medium
36.0,6.27,8.81,4.0,11.08,1.8,1,Low
37.0,8.24,6.0,5.0,9.27,1.27,3,Medium
27.0,12.6,7.33,5.0,14.76,1.06,4,Medium
23.0,9.42,8.05,7.0,11.73,0.43,3,Medium
21.0,10.9,7.13,1.0,14.09,0.24,2,Low
25.0,8.69,7.49,2.0,13.31,1.21,1,Low
41.0,8.4,5.86,4.0,12.75,1.64,3,Medium
29.0,8.46,6.4,2.0,10.39,1.38,3,Medium
23.0,8.11,4.99,2.0,11.19,0.36,4,Medium
41.0,9.39,7.4,6.0,13.03,0.58,2,Low
37.0,6.5,5.11,4.0,11.45,1.09,3,Medium
31.0,12.91,4.01,4.0,14.04,1.25,5,Medium
21.0,7.33,8.67,0.0,10.19,0.14,2,Low
29.0,5.48,5.53,1.0,10.43,1.23,3,Medium
23.0,4.97,4.98,2.0,9.88,1.47,2,Low
33.0,4.13,5.34,7.0,6.45,0.36,4,Medium
35.0,8.23,5.65,1.0,9.23,0.49,3,Medium
34.0,5.88,6.37,1.0,9.23,0.52,2,Low
27.0,4.22,4.35,7.0,8.69,1.88,3,Medium
33.0,9.2,4.26,6.0,11.5,0.81,4,Medium
44.0,4.86,5.48,0.0,7.19,1.45,2,Low
27.0,8.61,4.59,2.0,12.05,0.74,3,Medium
40.0,11.44,6.02,5.0,15.33,0.21,7,High
35.0,13.86,5.42,4.0,16.24,1.31,5,Medium
32.0,10.67,4.13,4.0,13.08,1.33,3,Medium
37.0,6.45,8.43,1.0,9.33,0.52,0,Low
34.0,11.17,8.43,7.0,15.51,0.07,5,Medium
40.0,9.98,5.05,0.0,11.38,1.33,3,Medium
43.0,6.12,4.81,0.0,9.65,1.41,2,Low
44.0,12.51,6.74,2.0,16.22,0.05,6,High
32.0,8.27,7.15,2.0,11.5,1.39,1,Low
28.0,13.62,8.79,1.0,18.36,1.88,3,Medium
34.0,11.23,5.89,1.0,14.64,0.36,6,High
32.0,10.45,7.09,1.0,13.99,1.04,1,Low
20.0,11.28,8.39,3.0,14.68,1.39,3,Medium
44.0,8.78,6.25,0.0,12.67,0.46,4,Medium
26.0,9.05,4.61,1.0,10.59,1.5,3,Medium
43.0,10.81,4.68,0.0,11.98,1.63,3,Medium
20.0,12.97,4.08,5.0,16.53,0.52,6,High
31.0,12.91,7.76,4.0,16.37,1.61,3,Medium
27.0,13.76,5.19,4.0,15.59,0.83,5,Medium
43.0,11.0,4.01,0.0,12.16,0.53,3,Medium
30.0,9.02,8.36,5.0,10.58,0.34,3,Medium
38.0,5.66,6.22,4.0,7.75,1.82,2,Low
36.0,11.05,5.19,4.0,15.58,0.85,5,Medium
27.0,6.92,5.31,4.0,11.34,1.73,3,Medium
22.0,6.83,5.2,2.0,8.09,0.32,3,Medium
22.0,6.38,4.97,5.0,8.54,1.53,3,Medium
20.0,12.75,8.21,7.0,17.31,0.22,5,Medium
29.0,10.31,6.81,0.0,15.29,1.99,3,Medium
26.0,8.73,4.39,0.0,10.76,0.15,4,Medium
28.0,10.72,8.75,3.0,14.68,0.92,1,Low
26.0,10.07,7.02,7.0,12.74,1.76,2,Low
28.0,8.16,8.52,2.0,9.7,1.64,0,Low
27.0,7.8,5.99,0.0,9.82,0.94,2,Low
31.0,7.83,8.05,7.0,11.53,1.22,2,Low
21.0,9.89,8.27,2.0,12.24,1.26,1,Low
20.0,10.48,7.51,3.0,13.9,0.22,2,Low
35.0,8.52,4.46,0.0,10.34,0.57,3,Medium
42.0,13.69,4.08,0.0,16.48,0.6,5,Medium
42.0,4.84,4.84,0.0,7.89,0.76,2,Low
43.0,7.47,4.59,0.0,10.12,0.55,3,Medium
24.0,8.19,7.63,1.0,9.98,0.5,0,Low
22.0,4.17,6.79,5.0,7.02,0.71,3,Medium
31.0,7.65,6.63,5.0,11.42,0.76,4,Medium
27.0,6.74,5.26,2.0,11.6,0.97,3,Medium
41.0,9.06,4.77,2.0,13.22,0.35,4,Medium
22.0,7.36,5.03,7.0,9.01,1.58,3,Medium
20.0,11.26,6.0,7.0,13.35,1.72,6,High
22.0,9.1,7.7,2.0,10.42,0.5,1,Low
24.0,5.3,5.27,3.0,6.84,0.25,3,Medium
34.0,11.5,7.49,6.0,13.5,1.44,4,Medium
33.0,4.99,6.46,1.0,6.79,1.85,2,Low
20.0,13.31,5.16,2.0,15.23,0.03,6,High
24.0,7.22,6.25,7.0,9.42,0.37,4,Medium
42.0,13.26,4.48,7.0,14.76,1.37,6,High
33.0,11.93,5.68,2.0,14.04,1.93,5,Medium
26.0,13.22,6.53,0.0,16.97,1.5,5,Medium
34.0,6.36,4.99,6.0,8.05,1.4,3,Medium
34.0,12.95,5.09,7.0,14.22,0.46,7,High
29.0,5.84,7.16,0.0,8.84,1.38,0,Low
32.0,6.13,5.91,7.0,10.5,0.64,4,Medium
38.0,6.71,6.41,6.0,7.95,0.44,4,Medium
36.0,9.14,6.5,0.0,12.74,1.34,3,Medium
39.0,11.13,7.26,2.0,14.5,1.53,3,Medium
23.0,13.26,7.28,0.0,17.77,1.16,3,Medium
24.0,4.88,8.02,2.0,9.35,0.13,1,Low
42.0,13.54,7.19,6.0,14.77,0.08,5,Medium
26.0,13.21,4.32,3.0,15.65,0.43,6,High
32.0,4.54,5.71,3.0,8.22,0.57,2,Low
34.0,7.6,8.95,4.0,12.41,0.81,1,Low
30.0,12.13,4.98,7.0,16.35,0.15,7,High
23.0,10.12,6.93,1.0,11.83,1.45,3,Medium
32.0,11.79,8.21,0.0,13.91,1.42,3,Medium
26.0,11.19,6.93,5.0,15.24,0.69,6,High
38.0,8.97,5.86,0.0,11.86,1.13,3,Medium
41.0,4.41,4.4,1.0,7.6,0.2,3,Medium
21.0,9.84,5.81,7.0,13.28,0.83,4,Medium
29.0,4.49,4.91,7.0,5.9,1.72,3,Medium
44.0,12.0,7.58,1.0,16.45,0.21,4,Medium
25.0,13.97,6.18,4.0,17.48,1.36,5,Medium
31.0,8.56,4.55,1.0,12.2,0.91,3,Medium
31.0,11.49,5.33,2.0,13.25,1.38,5,Medium
39.0,10.67,5.3,0.0,12.12,0.35,4,Medium
30.0,13.91,6.43,1.0,14.99,1.1,5,Medium
42.0,11.13,6.3,2.0,15.78,1.24,5,Medium
44.0,5.64,6.17,1.0,8.02,1.86,2,Low
26.0,13.56,6.48,5.0,14.9,0.13,7,High
20.0,10.68,8.94,2.0,13.54,0.75,1,Low
20.0,4.59,5.49,3.0,5.89,1.87,2,Low
44.0,10.58,7.08,7.0,11.92,0.43,3,Medium
32.0,7.54,5.0,6.0,10.86,0.05,5,Medium
28.0,12.21,6.79,2.0,15.84,0.66,5,Medium
22.0,11.83,5.33,1.0,15.5,1.54,5,Medium
25.0,5.54,8.08,7.0,9.11,0.77,1,Low
27.0,6.51,4.64,7.0,8.73,0.26,4,Medium
28.0,11.38,5.84,3.0,14.15,0.45,6,High
24.0,12.06,6.39,2.0,14.63,1.01,5,Medium
20.0,6.79,6.16,1.0,9.11,0.64,2,Low
38.0,7.68,7.63,7.0,9.63,0.42,2,Low
29.0,4.78,6.98,3.0,6.09,0.79,2,Low
31.0,11.13,5.48,5.0,14.15,1.4,6,High
43.0,4.04,4.26,2.0,7.19,0.24,3,Medium
41.0,4.04,5.76,6.0,8.94,0.55,3,Medium
43.0,10.45,8.45,7.0,13.68,0.76,2,Low
28.0,8.17,5.98,7.0,12.73,1.64,4,Medium
39.0,6.98,7.59,7.0,10.26,1.86,2,Low
36.0,13.13,8.7,2.0,14.89,0.49,4,Medium
36.0,5.93,7.26,3.0,10.83,1.26,1,Low
39.0,7.89,6.07,0.0,12.43,1.35,3,Medium
31.0,13.4,6.84,1.0,16.29,1.68,5,Medium
26.0,8.27,6.72,4.0,10.24,1.8,3,Medium
21.0,9.55,6.92,4.0,11.44,0.94,3,Medium
22.0,4.8,4.73,7.0,9.02,1.97,3,Medium
36.0,11.9,7.49,1.0,13.18,1.94,3,Medium
24.0,8.23,4.73,0.0,11.78,1.01,3,Medium
36.0,12.01,4.07,6.0,15.57,1.08,6,High
43.0,6.54,7.12,6.0,8.27,1.34,1,Low
36.0,8.22,4.58,6.0,12.04,0.75,4,Medium
36.0,11.87,7.85,6.0,15.69,1.32,4,Medium
21.0,13.74,8.33,1.0,16.14,1.03,3,Medium
21.0,4.6,8.72,2.0,7.53,0.07,1,Low
41.0,12.12,7.32,5.0,16.45,1.71,4,Medium
42.0,7.01,6.41,1.0,10.1,1.88,3,Medium
24.0,9.51,5.76,1.0,12.98,0.05,4,Medium
20.0,6.9,6.45,5.0,9.55,1.58,3,Medium
20.0,10.13,4.95,3.0,11.73,0.77,3,Medium
38.0,7.54,5.74,4.0,12.53,1.17,3,Medium
21.0,7.34,7.59,7.0,10.47,1.0,2,Low
40.0,4.38,5.09,4.0,6.73,1.1,2,Low
31.0,5.47,5.32,7.0,9.33,0.99,3,Medium
25.0,13.17,7.75,2.0,16.65,1.71,3,Medium
42.0,13.98,4.89,5.0,15.91,1.37,6,High
23.0,11.81,5.23,6.0,16.32,0.83,6,High
42.0,6.87,4.09,6.0,8.15,1.38,3,Medium
36.0,13.69,7.47,2.0,15.96,0.78,3,Medium
25.0,8.55,5.07,5.0,12.86,1.74,4,Medium
43.0,12.3,7.44,5.0,15.93,1.48,4,Medium
24.0,13.75,6.98,0.0,17.79,1.87,5,Medium
39.0,12.73,5.83,3.0,15.39,0.08,6,High
21.0,6.27,6.19,5.0,11.04,1.73,4,Medium
41.0,8.92,6.47,3.0,12.04,1.63,3,Medium
30.0,9.31,7.21,6.0,14.04,1.19,2,Low
35.0,6.85,6.7,6.0,8.29,1.08,3,Medium
28.0,8.7,6.31,0.0,13.59,1.05,3,Medium
25.0,7.17,6.35,6.0,11.26,1.48,4,Medium
35.0,10.23,8.41,5.0,13.17,1.19,2,Low
22.0,10.53,8.09,3.0,13.55,0.59,1,Low
39.0,11.69,7.15,3.0,13.72,1.2,3,Medium
23.0,5.57,7.58,7.0,8.3,0.17,2,Low
22.0,9.99,7.72,6.0,11.13,0.8,2,Low
38.0,4.58,6.43,4.0,7.39,1.51,2,Low
39.0,11.77,5.59,4.0,14.69,1.65,5,Medium
26.0,7.83,4.7,5.0,11.49,1.1,4,Medium
39.0,7.3,4.38,1.0,10.37,1.74,3,Medium
20.0,7.46,4.81,2.0,9.93,1.93,2,Low
27.0,7.38,4.15,3.0,10.02,1.84,3,Medium
26.0,12.08,7.66,6.0,15.37,1.2,4,Medium
27.0,13.71,5.84,5.0,16.28,0.91,6,High
20.0,9.55,8.11,0.0,13.29,0.36,2,Low
44.0,5.31,8.18,4.0,9.94,0.38,1,Low
44.0,9.92,7.2,5.0,13.38,0.96,2,Low
37.0,10.33,5.71,2.0,11.95,0.41,4,Medium
42.0,4.53,4.59,3.0,7.48,0.36,3,Medium
29.0,6.43,4.46,7.0,10.49,0.5,4,Medium
22.0,11.95,5.68,6.0,15.52,0.06,7,High
26.0,4.5,4.7,7.0,9.04,1.43,3,Medium
35.0,12.55,5.34,2.0,16.55,0.61,5,Medium
35.0,10.58,4.26,7.0,11.83,1.4,4,Medium
44.0,8.34,6.98,5.0,9.79,1.31,3,Medium
